industry,code
种植业与林业,881101
养殖业,881102
农产品加工,881103
农业服务,881104
煤炭开采加工,881105
油气开采及服务,881107
化学原料,881108
化学制品,881109
化工合成材料,881110
钢铁,881112
金属新材料,881114
建筑材料,881115
建筑装饰,881116
通用设备,881117
专用设备,881118
仪器仪表,881119
电力设备,881120
半导体及元件,881121
光学光电子,881122
其他电子,881123
消费电子,881124
汽车整车,881125
汽车零部件,881126
非汽车交运,881127
汽车服务,881128
通信设备,881129
计算机设备,881130
白色家电,881131
黑色家电,881132
饮料制造,881133
食品加工制造,881134
纺织制造,881135
服装家纺,881136
造纸,881137
包装印刷,881138
家用轻工,881139
化学制药,881140
中药,881141
生物制品,881142
医药商业,881143
医疗器械,881144
电力,881145
燃气,881146
港口航运,881148
公路铁路运输,881149
机场航运,881151
物流,881152
房地产开发,881153
银行,881155
保险及其他,881156
证券,881157
零售,881158
贸易,881159
景点及旅游,881160
酒店及餐饮,881161
通信服务,881162
计算机应用,881163
传媒,881164
综合,881165
国防军工,881166
非金属材料,881167
工业金属,881168
贵金属,881169
小金属,881170
自动化设备,881171
电子化学品,881172
小家电,881173
厨卫电器,881174
医疗服务,881175
房地产服务,881176
互联网电商,881177
教育,881178
其他社会服务,881179
石油加工贸易,881180
环保,881181
美容护理,881182
种子生产,884001
粮食种植,884002
其他种植业,884003
林业,884004
海洋捕捞,884005
水产养殖,884006
畜禽养殖,884007
饲料,884008
果蔬加工,884009
粮油加工,884010
其他农产品加工,884011
农业综合,884012
动物保健,884013
煤炭开采,884014
焦炭加工,884015
油气开采,884016
油服工程,884018
石油加工,884020
油品石化贸易,884021
纯碱,884022
氯碱,884023
无机盐,884024
其他化学原料,884025
氮肥,884026
磷肥及磷化工,884027
农药,884028
涂料油墨,884030
钾肥,884031
民爆用品,884032
纺织化学用品,884033
其他化学制品,884034
复合肥,884035
氟化工,884036
聚氨酯,884039
涤纶,884041
粘胶,884043
其他纤维,884044
氨纶,884045
其他塑料制品,884046
改性塑料,884048
其他橡胶制品,884050
炭黑,884051
普钢,884052
铝,884053
铜,884054
铅锌,884055
其他金属新材料,884056
磁性材料,884057
玻璃玻纤,884059
水泥,884060
其他建材,884062
耐火材料,884063
管材,884064
装饰园林,884065
房屋建设,884066
基础建设,884067
专业工程,884068
机床工具,884069
磨具磨料,884071
制冷空调设备,884073
其他通用设备,884074
金属制品,884075
纺织服装设备,884076
工程机械,884077
农用机械,884078
能源及重型设备,884080
印刷包装机械,884081
其他专用设备,884082
楼宇设备,884083
环保设备,884084
电机,884085
电气自控设备,884086
输变电设备,884088
线缆部件及其他,884089
分立器件,884090
半导体材料,884091
印制电路板,884092
被动元件,884093
面板,884094
LED,884095
光学元件,884096
消费电子零部件及组装,884098
乘用车,884099
商用载货车,884100
商用载客车,884101
轨交设备,884105
其他交运设备,884106
冰洗,884112
空调,884113
其他白色家电,884116
彩电,884117
其他黑色家电,884118
其他酒类,884119
软饮料,884120
肉制品,884123
调味发酵品,884124
乳品,884125
其他食品,884126
棉纺,884128
印染,884130
辅料,884131
其他纺织,884132
鞋帽及其他,884136
家纺,884137
家具,884139
其他家用轻工,884140
饰品,884141
文娱用品,884142
原料药,884143
化学制剂,884144
医疗设备,884145
火电,884146
水电,884147
热力,884149
新能源发电,884150
港口,884153
高速公路,884154
铁路运输,884155
机场,884156
航空运输,884157
多元金融,884158
保险,884159
百货零售,884160
专业连锁,884161
商业物业经营,884162
人工景点,884163
自然景点,884164
旅游综合,884165
酒店,884167
餐饮,884168
有线电视网络,884172
软件开发,884174
出版,884176
影视院线,884177
广告营销,884178
其他传媒,884179
航天装备,884180
航空装备,884181
地面兵装,884182
航海装备,884183
特钢,884184
其他小金属,884186
白酒,884188
啤酒,884189
航运,884191
公交,884200
住宅开发,884202
产业地产,884203
钛白粉,884209
食品及饲料添加剂,884210
有机硅,884211
合成树脂,884212
膜材料,884213
冶钢原料,884214
稀土,884215
能源金属,884216
工程咨询服务,884217
机器人,884218
工控设备,884219
激光设备,884220
其他自动化设备,884221
光伏设备,884222
风电设备,884223
电池,884224
其他电源设备,884225
集成电路设计,884226
集成电路制造,884227
集成电路封测,884228
半导体设备,884229
品牌消费电子,884230
休闲食品,884233
服装,884234
印刷,884235
包装,884236
瓷砖地板,884237
血液制品,884238
疫苗,884239
其他生物制品,884240
医疗耗材,884242
体外诊断,884243
医疗研发外包,884244
其他医疗服务,884245
电能综合服务,884246
商业地产,884247
国有大型银行,884249
股份制银行,884250
城商行,884251
农商行,884252
其他银行,884253
旅游零售,884254
专业服务,884257
体育,884258
游戏,884260
数字媒体,884261
通信网络设备及器件,884262
通信线缆及配套,884263
通信终端及配件,884264
其他通信设备,884265
军工电子,884266
大气治理,884267
水务及水治理,884268
固废治理,884269
综合环境治理,884270
个护用品,884271
化妆品,884272
医疗美容,884273
IT服务,884274
